3K_DNA_IRIS_UNIQUE_ID	Genetic_Stock_varname	Country_Origin_updated	SRA Accession
CX133	Zhengshan97	China	ERS470499
CX230	IR_64-IL	Philippines	ERS470554
CX403	IR_64_A	Philippines	ERS470689
IRIS_313-11480	PR_106::IRGC_53418-1	India	ERS468691
IRIS_313-8568	LARHA_MUGAD::IRGC_52339-1	India	ERS467875
IRIS_313-10985	GOBOL_SAIL_(BALAM)::IRGC_26624-2	Bangladesh	ERS469789
IRIS_313-11708	KHAO_YAI_GUANG::IRGC_65972-1	Thailand	ERS468872
IRIS_313-12048	LIMA::IRGC_81487-1	Indonesia	ERS469180
IRIS_313-10239	LIU_XU::IRGC_109232-1	China	ERS468182
CX145	Minghui_63	China	ERS470509
CX151	AZUCENA	Philippines	ERS470516
IRIS_313-10841	KETAN_NANGKA::IRGC_19961-2	Indonesia	ERS469645
IRIS_313-12029	CHAO_MEO::IRGC_80273-1	Lao_People s_Democratic_Republic	ERS469163
CX140	Nipponbare	Japan	ERS470504
IRIS_313-11163	NATEL_BORO::IRGC_34749-1	Bangladesh	ERS469965
CX368	N_22	India	ERS470653
IRIS_313-10150	N_22::IRGC_46459-1	India	ERS467826
IRIS_313-8813	ARC_10497::IRGC_12485-1	India	ERS467771
B001	Heibiao	China	ERS470219
B002	Sansuijin	China	ERS470220
B003	Zaoshengbai	China	ERS470221
B004	Qiuguangtengxi_104	Japan	ERS470222
B005	Wanshi	Japan	ERS470223
B006	Yikong	Viet_Nam	ERS470224
B007	Tianhandao	Viet_Nam	ERS470225
B008	Baxiang	Viet_Nam	ERS470226
B009	Vietnam_Zaodao	Viet_Nam	ERS470227
B010	Malaihong	Malaysia	ERS470228
B011	CO_22	India	ERS470229
B012	2037_(Rajahamsal)	India	ERS470230
B013	Sri_Lanka_1	Sri_Lanka	ERS470231
B014	Wuziluosi_215	Uzbekistan	ERS470232
B015	Kahamu	Romania	ERS470233
B016	Aomierte_168	Hungary	ERS470234
B017	Aerjituo	Bulgaria	ERS470235
B018	American_Huangkedao	United_States_of_America	ERS470236
B019	Buleida_A-75	Mexico	ERS470237
B020	Jineiyadao	Guinea	ERS470238
B021	Seln_244A6-20	Australia	ERS470239
